Complaint Type,Date,Time,Latitude,Longitude,Descriptor,Borough
Noise - Vehicle,9/23/2019,17:22:15,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,19:53:57,40.5794838,-73.99821803,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:20:00,40.85135502,-73.92908762,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,21:11:59,40.74593081,-73.85629201,Loud Music/Party,Queens
Noise - Residential,10/19/2019,13:02:14,40.74312676,-73.92344319,Banging/Pounding,Queens
Noise - Residential,9/22/2019,21:18:08,40.82777693,-73.91534939,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/22/2019,16:30:32,40.6350633,-73.9500488,Loud Music/Party,Brooklyn
Noise - Park,9/22/2019,18:25:14,40.7786329,-73.9625461,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,11:03:13,40.72195913,-73.80969682,Loud Talking,Queens
Noise - Residential,10/12/2019,15:01:22,40.85499223,-73.92987178,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,12:36:38,40.75940015,-73.96147401,Banging/Pounding,Manhattan
Noise - Residential,9/22/2019,22:19:31,40.68804715,-73.96065705,Loud Television,Brooklyn
Noise - Street/Sidewalk,9/24/2019,1:18:42,40.74892165,-73.87176862,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,12:06:27,40.70959737,-74.00653222,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:03:13,40.83634934,-73.88726252,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,7:49:30,40.8608612,-73.92673485,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,21:07:27,40.8281021,-73.94460303,Loud Music/Party,Manhattan
Noise - Commercial,9/22/2019,21:14:01,40.69161179,-73.93974737,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,18:22:46,40.82924816,-73.91543786,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,23:44:49,40.66544335,-73.95190404,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,20:37:53,40.65055433,-73.95541404,Engine Idling,Brooklyn
Noise - Residential,9/22/2019,18:59:12,40.6961755,-73.94937913,Loud Television,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:07:27,40.8281021,-73.94460303,Loud Music/Party,Manhattan
Noise - Commercial,9/22/2019,21:04:32,40.70401916,-73.98461395,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:07:28,40.82409955,-73.94890966,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,13:06:30,40.77575199,-73.90647218,Banging/Pounding,Queens
Noise - Vehicle,9/23/2019,2:18:23,40.77406925,-73.91320806,Car/Truck Music,Queens
Noise - Commercial,9/22/2019,22:54:43,40.72821933,-73.98196732,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,17:31:27,40.66107634,-73.9587987,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,23:56:39,40.63991675,-73.94548351,Banging/Pounding,Brooklyn
Noise - Commercial,9/24/2019,0:12:22,40.84070363,-73.78406213,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,20:59:57,40.83747911,-73.90769363,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,21:04:52,40.64915781,-73.96499722,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:47:03,40.60494023,-73.95247342,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,19:08:26,40.69503014,-73.91169538,Loud Music/Party,Brooklyn
Noise - Vehicle,9/22/2019,23:08:58,40.81563029,-73.89693997,Car/Truck Music,Bronx
Noise - Street/Sidewalk,11/5/2019,22:54:18,40.87719001,-73.88956902,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,17:01:43,40.88253737,-73.86215539,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,5:59:40,40.83348589,-73.92735403,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,14:18:23,40.68438288,-73.82326022,Loud Music/Party,Queens
Noise - Residential,9/22/2019,20:40:18,40.81848297,-73.95328916,Loud Music/Party,Manhattan
Noise - Commercial,9/22/2019,16:27:19,40.76045412,-73.91527612,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,22:03:48,40.83801408,-73.94073148,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:45:41,40.82502279,-73.87737784,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,20:01:42,40.63093704,-74.01283649,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,22:50:00,40.66761617,-73.7794209,Banging/Pounding,Queens
Noise - Vehicle,9/23/2019,23:39:06,40.8216015,-73.95461657,Car/Truck Music,Manhattan
Noise - Street/Sidewalk,9/22/2019,18:52:04,40.81976407,-73.95161908,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,22:19:45,40.6899826,-73.97123926,Loud Talking,Brooklyn
Noise - Residential,9/23/2019,11:28:44,40.61488453,-73.98033028,Banging/Pounding,Brooklyn
Noise - Commercial,9/22/2019,17:44:13,40.82686433,-73.92530889,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,0:34:12,40.84002242,-73.91717336,Car/Truck Music,Bronx
Noise - Vehicle,9/23/2019,18:06:30,40.77250232,-73.80070333,Engine Idling,Queens
Noise - Street/Sidewalk,9/23/2019,21:04:19,40.57693501,-73.95956337,Loud Music/Party,Brooklyn
Noise - Park,9/22/2019,22:42:21,40.8710471,-73.89821721,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,11:07:45,40.69899401,-73.91977567,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:22:20,40.86436483,-73.9205451,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,23:19:04,40.62396722,-74.0816039,Loud Talking,Staten Island
Noise - Vehicle,9/23/2019,14:31:29,40.72236784,-73.80788821,Car/Truck Horn,Queens
Noise - Residential,9/23/2019,18:31:00,40.78886965,-73.96796807,Loud Music/Party,Manhattan
Noise - Residential,9/24/2019,2:13:44,40.71324863,-73.74264617,Loud Music/Party,Queens
Noise - Residential,10/2/2019,21:10:27,40.58377459,-73.83965889,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,20:26:12,40.68353643,-73.96593105,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,12:59:14,40.69460843,-73.92898027,Banging/Pounding,Brooklyn
Noise - Residential,9/22/2019,20:19:56,40.68844537,-73.87592706,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,21:11:38,40.69161179,-73.93974737,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,15:12:45,40.70695362,-73.92348834,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,15:19:12,40.67542428,-73.73842991,Loud Music/Party,Queens
Noise - Commercial,9/22/2019,21:13:23,40.69161179,-73.93974737,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:49:53,40.62396722,-74.0816039,Loud Talking,Staten Island
Noise - Residential,9/23/2019,4:46:50,40.68854769,-73.94329467,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,18:49:53,40.82043292,-73.94368811,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,20:42:58,40.68130323,-73.941289,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:19:45,40.6899826,-73.97123926,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:16:23,40.68326436,-73.95676949,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,23:01:51,40.81458078,-73.923874,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,16:37:46,40.68689158,-73.82146151,Loud Music/Party,Queens
Noise - Residential,9/23/2019,18:36:57,40.69375579,-73.93058229,Banging/Pounding,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:22:31,40.80426873,-73.95498599,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:01:48,40.85190737,-73.93486331,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,22:37:30,40.83166976,-73.92875447,Loud Talking,Bronx
Noise - Commercial,9/22/2019,23:02:12,40.76331469,-73.92819586,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,18:31:20,40.80242966,-73.95471633,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/23/2019,2:29:56,40.64654132,-74.01120348,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,22:33:50,40.71731854,-73.9974604,Engine Idling,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:40:12,40.86425024,-73.89709962,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,20:03:47,40.82163448,-73.95473217,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,21:01:27,40.83490212,-73.91522468,Loud Music/Party,Bronx
Noise - Helicopter,9/22/2019,22:30:23,40.72195913,-73.80969682,Other,Queens
Noise - Residential,9/22/2019,19:52:22,40.67524616,-73.87631573,Loud Music/Party,Brooklyn
Noise - Vehicle,9/24/2019,0:41:07,40.66638461,-73.92158117,Car/Truck Music,Brooklyn
Noise - Residential,9/23/2019,2:37:51,40.76217354,-73.92082584,Loud Television,Queens
Noise - Helicopter,9/23/2019,4:21:52,40.71124428,-74.00539616,NYPD,Manhattan
Noise - Residential,9/22/2019,23:42:27,40.72922467,-73.79692886,Loud Music/Party,Queens
Noise - Residential,10/26/2019,16:00:44,40.88182192,-73.84969503,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/23/2019,21:48:20,40.7254559,-73.94776223,Loud Talking,Brooklyn
Noise - Commercial,10/13/2019,20:13:34,40.57599013,-74.08266121,Loud Music/Party,Staten Island
Noise - Residential,9/22/2019,12:51:19,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,12:10:14,40.75354978,-73.82609052,Banging/Pounding,Queens
Noise - Vehicle,9/22/2019,18:13:14,40.71145876,-73.95715159,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/22/2019,16:29:00,40.74954684,-73.98797797,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,12:12:59,40.67580088,-73.96338977,Banging/Pounding,Brooklyn
Noise - Residential,10/3/2019,8:58:33,40.69058792,-73.9581314,Banging/Pounding,Brooklyn
Noise - Residential,9/23/2019,18:06:42,40.70024227,-73.90794857,Loud Music/Party,Queens
Noise - Vehicle,9/23/2019,13:00:21,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,12:30:30,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,20:02:07,40.65941518,-73.93898351,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,19:54:36,40.65941518,-73.93898351,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,20:27:27,40.84304311,-73.9369104,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,12:29:51,40.69460843,-73.92898027,Loud Talking,Brooklyn
Noise - Residential,11/28/2019,20:26:22,40.87464944,-73.90622821,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,18:08:23,40.85200917,-73.93058702,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,15:55:11,40.69943976,-73.92985148,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,19:44:47,40.70178324,-73.92055494,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,22:13:15,40.65697061,-73.89482077,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,21:13:23,40.69161179,-73.93974737,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,1:53:46,40.84247695,-73.93555562,Car/Truck Music,Manhattan
Noise - Vehicle,9/23/2019,13:00:21,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Street/Sidewalk,9/22/2019,18:00:31,40.69568854,-73.96049748,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,23:47:34,40.70349833,-73.93777101,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,19:02:28,40.74536371,-73.7532767,Banging/Pounding,Queens
Noise - Street/Sidewalk,9/23/2019,0:31:11,40.82615481,-73.94773015,Loud Music/Party,Manhattan
Noise - Residential,10/13/2019,1:52:05,40.76388733,-73.87546524,Loud Talking,Queens
Noise - Residential,9/23/2019,21:20:35,40.80505495,-73.95826529,Banging/Pounding,Manhattan
Noise - Commercial,9/23/2019,20:43:21,40.75195469,-73.97519713,Banging/Pounding,Manhattan
Noise - Residential,10/27/2019,11:50:41,40.74229141,-73.95935835,Loud Music/Party,Queens
Noise - Residential,9/23/2019,12:18:31,40.88288663,-73.8799617,Banging/Pounding,Bronx
Noise - Vehicle,9/22/2019,22:38:13,40.72236784,-73.80788821,Car/Truck Horn,Queens
Noise - Commercial,9/22/2019,21:11:38,40.69161179,-73.93974737,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:51:15,40.75926849,-73.97114798,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/23/2019,9:23:48,40.63637792,-74.00062692,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,9:23:06,40.68257531,-73.99919958,Loud Talking,Brooklyn
Noise - Residential,9/22/2019,13:24:33,40.85357934,-73.90405651,Banging/Pounding,Bronx
Noise - Vehicle,9/22/2019,14:16:53,40.72236784,-73.80788821,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,21:11:45,40.65697061,-73.89482077,Loud Music/Party,Brooklyn
Noise - Park,9/22/2019,19:30:14,40.65412,-73.96380171,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,17:13:06,40.82951451,-73.91943041,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,22:15:19,40.6697243,-73.89048209,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,11:05:27,40.72236784,-73.80788821,Car/Truck Horn,Queens
Noise - Street/Sidewalk,9/22/2019,21:22:12,40.86198131,-73.92717106,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,15:32:33,40.68318496,-73.94443498,Car/Truck Music,Brooklyn
Noise - Residential,9/22/2019,12:28:42,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,19:30:24,40.84290923,-73.90905227,Loud Music/Party,Bronx
Noise - Commercial,9/22/2019,20:29:53,40.71360468,-73.96372612,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,3:56:12,40.59342871,-73.78610763,Loud Music/Party,Queens
Noise - Residential,9/23/2019,1:42:14,40.77246092,-73.91704799,Banging/Pounding,Queens
Noise - Residential,9/23/2019,19:45:04,40.57808888,-73.9723854,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,22:53:09,40.57352965,-73.98744811,Car/Truck Music,Brooklyn
Noise - Commercial,9/22/2019,21:09:21,40.6899801,-73.97222728,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,23:09:24,40.83366127,-73.85669516,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,17:10:21,40.80550805,-73.94008134,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,0:18:47,40.73112316,-73.95977289,Loud Music/Party,Brooklyn
Noise - Commercial,9/23/2019,16:11:54,40.85495848,-73.86668774,Loud Music/Party,Bronx
Noise - Park,9/22/2019,23:36:41,40.7786329,-73.9625461,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:40:40,40.68513906,-73.82059363,Loud Music/Party,Queens
Noise - Residential,9/22/2019,21:50:56,40.84897036,-73.91369588,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,22:46:12,40.664201,-73.98650829,Engine Idling,Brooklyn
Noise - Street/Sidewalk,9/23/2019,18:31:20,40.80242966,-73.95471633,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,23:44:54,40.84509736,-73.89370287,Loud Music/Party,Bronx
Noise - Commercial,9/22/2019,19:08:27,40.67542428,-73.73842991,Loud Music/Party,Queens
Noise - Commercial,9/24/2019,0:35:19,40.71731854,-73.9974604,Banging/Pounding,Manhattan
Noise - Vehicle,9/23/2019,16:02:04,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Street/Sidewalk,9/22/2019,15:12:45,40.70695362,-73.92348834,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/24/2019,0:16:36,40.82416166,-73.95297806,Loud Talking,Manhattan
Noise - Residential,9/22/2019,20:01:05,40.59399803,-73.77802935,Loud Music/Party,Queens
Noise - Residential,10/26/2019,23:23:33,40.82589486,-73.90577299,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/23/2019,19:41:26,40.81452987,-73.86521889,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,11:59:25,40.72692684,-73.94719825,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/23/2019,15:19:09,40.77860733,-73.98162149,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,0:24:20,40.60796771,-73.98069607,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,16:28:00,40.53876418,-74.15506674,Loud Music/Party,Staten Island
Noise - Street/Sidewalk,9/23/2019,21:43:14,40.82403099,-73.94903618,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,18:00:31,40.69568854,-73.96049748,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,10/12/2019,18:00:10,40.83137895,-73.92895353,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,19:21:26,40.75595167,-73.88827208,Loud Music/Party,Queens
Noise - Helicopter,9/23/2019,15:33:15,40.72195913,-73.80969682,News Gathering,Queens
Noise - Vehicle,9/23/2019,19:05:56,40.81944879,-73.91823226,Car/Truck Music,Bronx
Noise - Residential,9/22/2019,22:32:00,40.59045201,-73.9643799,Loud Music/Party,Brooklyn
Noise - Commercial,9/23/2019,11:36:36,40.76516848,-73.81907485,Loud Talking,Queens
Noise - Commercial,9/23/2019,0:16:21,40.82101033,-73.89737604,Car/Truck Music,Bronx
Noise - Street/Sidewalk,9/22/2019,20:03:47,40.82163448,-73.95473217,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,12:29:17,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Commercial,10/19/2019,23:11:59,40.63098847,-74.1021192,Loud Music/Party,Staten Island
Noise - Commercial,9/22/2019,15:43:04,40.82866186,-73.89059267,Banging/Pounding,Bronx
Noise - Commercial,9/22/2019,23:00:25,40.62042127,-73.9270456,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,20:07:53,40.81976407,-73.95161908,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,11:01:05,40.70070914,-73.9192651,Car/Truck Music,Brooklyn
Noise - Residential,9/23/2019,19:29:08,40.87907437,-73.87239633,Loud Music/Party,Bronx
Noise - Vehicle,9/24/2019,0:15:26,40.68844537,-73.87592706,Engine Idling,Brooklyn
Noise - Residential,9/24/2019,1:41:03,40.74470768,-73.91934891,Banging/Pounding,Queens
Noise - Residential,9/22/2019,18:14:39,40.68565705,-73.94250388,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,12:52:50,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,17:46:57,40.87964854,-73.86097165,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,22:52:20,40.57454006,-73.99088562,Banging/Pounding,Brooklyn
Noise - Vehicle,11/25/2019,8:24:37,40.8455646,-73.89743936,Car/Truck Horn,Bronx
Noise - Street/Sidewalk,9/23/2019,19:40:35,40.81676442,-73.90729606,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,19:36:01,40.70729918,-73.95389367,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,0:46:39,40.69681691,-73.97057997,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,18:30:49,40.81960247,-73.91818872,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,21:42:12,40.68282793,-73.87193537,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,19:54:36,40.65941518,-73.93898351,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,20:40:08,40.69919546,-73.90664089,Loud Music/Party,Queens
Noise - Vehicle,9/23/2019,18:22:37,40.81944879,-73.91823226,Car/Truck Music,Bronx
Noise - Commercial,9/24/2019,0:40:30,40.67457993,-73.95006607,Loud Music/Party,Brooklyn
Noise - Residential,10/3/2019,22:11:17,40.82920518,-73.90270047,Banging/Pounding,Bronx
Noise - Vehicle,9/22/2019,22:37:34,40.84897036,-73.91369588,Car/Truck Music,Bronx
Noise - Residential,9/23/2019,18:04:27,40.70024227,-73.90794857,Loud Music/Party,Queens
Noise - Residential,10/26/2019,23:11:59,40.69485641,-73.89747285,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,0:30:28,40.81563029,-73.89693997,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,18:47:01,40.67426949,-73.94942821,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:29:04,40.86754089,-73.92969947,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,23:01:51,40.81458078,-73.923874,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,19:48:03,40.70578404,-73.80958791,Banging/Pounding,Queens
Noise - Residential,9/22/2019,22:41:31,40.73046526,-73.79690704,Loud Music/Party,Queens
Noise - Park,9/22/2019,22:06:02,40.7786329,-73.9625461,Loud Music/Party,Manhattan
Noise - Vehicle,9/22/2019,23:22:24,40.71164246,-73.94390987,Engine Idling,Brooklyn
Noise - Residential,9/24/2019,1:50:28,40.84754647,-73.9356483,Banging/Pounding,Manhattan
Noise - Residential,9/22/2019,16:03:06,40.67232223,-73.95304185,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,12:38:57,40.8811371,-73.90526797,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,22:49:46,40.72095352,-73.86774946,Banging/Pounding,Queens
Noise - Street/Sidewalk,9/22/2019,22:22:31,40.80426873,-73.95498599,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,23:49:36,40.82416166,-73.95297806,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,16:34:41,40.82351924,-73.95258829,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,22:47:01,40.64679966,-74.00709905,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,19:30:12,40.61495754,-73.99694202,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,20:58:30,40.7024613,-73.76560775,Loud Music/Party,Queens
Noise - Residential,9/23/2019,18:54:33,40.7125333,-73.98377152,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,9:52:17,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Residential,9/23/2019,20:14:33,40.81976994,-73.89762363,Loud Music/Party,Bronx
Noise - Park,10/25/2019,23:50:45,40.87278705,-73.91874882,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,19:00:01,40.88314154,-73.83328447,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/22/2019,15:45:35,40.69933826,-73.92995257,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,19:19:20,40.85012052,-73.93009741,Loud Talking,Manhattan
Noise - Vehicle,9/22/2019,22:07:10,40.82502279,-73.87737784,Car/Truck Music,Bronx
Noise - Street/Sidewalk,9/22/2019,12:54:41,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,9:38:13,40.75679222,-73.9691963,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,23:17:07,40.62396722,-74.0816039,Loud Talking,Staten Island
Noise - Vehicle,9/22/2019,16:33:50,40.83166976,-73.92875447,Car/Truck Music,Bronx
Noise - Residential,9/22/2019,19:41:41,40.73028909,-73.98334505,Banging/Pounding,Manhattan
Noise - Residential,9/23/2019,21:47:01,40.75394,-73.88296968,Loud Music/Party,Queens
Noise - Residential,9/23/2019,23:17:00,40.75940015,-73.96147401,Banging/Pounding,Manhattan
Noise - Street/Sidewalk,9/22/2019,12:33:50,40.8329861,-73.91875045,Loud Music/Party,Bronx
Noise - Park,9/22/2019,18:39:00,40.88310723,-73.88095581,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,23:03:32,40.81444013,-73.86593438,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,21:36:00,40.66917217,-73.97304342,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,9:52:17,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,17:47:33,40.75595167,-73.88827208,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,16:55:36,40.76075309,-73.98352514,Loud Talking,Manhattan
Noise - Commercial,9/23/2019,21:02:38,40.60501196,-73.74950978,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,16:59:03,40.85666696,-73.8654227,Loud Talking,Bronx
